iter	Passed	Remaining
0	12	10519
1	21	9119
2	33	9527
3	44	9405
4	54	9139
5	64	9099
6	75	9051
7	84	8898
8	96	9048
9	106	8967
10	118	9032
11	130	9127
12	145	9376
13	158	9450
14	170	9528
15	182	9499
16	194	9518
17	205	9519
18	215	9419
19	226	9427
20	237	9397
21	247	9339
22	259	9326
23	268	9257
24	277	9179
25	288	9145
26	298	9111
27	309	9102
28	319	9068
29	328	8998
30	339	8975
31	347	8893
32	356	8842
33	366	8808
34	376	8787
35	387	8762
36	396	8722
37	407	8709
38	417	8698
39	426	8650
40	439	8673
41	449	8656
42	460	8661
43	473	8676
44	515	9237
45	530	9278
46	545	9333
47	559	9363
48	571	9361
49	584	9362
50	593	9301
51	603	9268
52	612	9219
53	621	9176
54	631	9145
55	641	9105
56	652	9084
57	662	9053
58	670	9006
59	680	8964
60	689	8927
61	698	8893
62	708	8856
63	717	8820
64	726	8784
65	735	8749
66	745	8727
67	755	8704
68	766	8685
69	777	8672
70	786	8645
71	799	8645
72	810	8637
73	819	8602
74	828	8575
75	837	8538
76	847	8522
77	859	8520
78	869	8498
79	879	8479
80	890	8465
81	899	8439
82	910	8427
83	921	8410
84	929	8379
85	940	8367
86	949	8336
87	958	8313
88	967	8282
89	977	8266
90	987	8249
91	997	8227
92	1006	8207
93	1016	8182
94	1025	8163
95	1035	8144
96	1045	8123
97	1056	8115
98	1065	8091
99	1075	8075
100	1085	8057
101	1094	8038
102	1105	8026
103	1114	8002
104	1123	7982
105	1132	7960
106	1141	7938
107	1152	7930
108	1161	7909
109	1171	7893
110	1181	7879
111	1191	7860
112	1201	7846
113	1210	7827
114	1221	7816
115	1231	7799
116	1241	7789
117	1252	7780
118	1261	7760
119	1272	7753
120	1283	7741
121	1292	7724
122	1302	7711
123	1313	7698
124	1322	7679
125	1331	7660
126	1340	7639
127	1350	7625
128	1358	7603
129	1368	7587
130	1376	7564
131	1385	7546
132	1395	7533
133	1404	7513
134	1415	7506
135	1424	7488
136	1434	7473
137	1443	7459
138	1452	7441
139	1463	7433
140	1472	7413
141	1482	7404
142	1493	7392
143	1502	7378
144	1512	7364
145	1522	7350
146	1531	7336
147	1541	7322
148	1550	7303
149	1561	7296
150	1570	7278
151	1581	7271
152	1590	7255
153	1599	7239
154	1610	7230
155	1618	7212
156	1628	7199
157	1638	7185
158	1648	7173
159	1658	7161
160	1667	7148
161	1679	7143
162	1689	7133
163	1698	7115
164	1709	7107
165	1718	7089
166	1728	7079
167	1738	7065
168	1746	7048
169	1757	7040
170	1766	7022
171	1775	7010
172	1785	6997
173	1794	6983
174	1805	6973
175	1814	6960
176	1824	6949
177	1835	6941
178	1845	6927
179	1855	6915
180	1863	6899
181	1874	6888
182	1883	6875
183	1893	6864
184	1904	6855
185	1913	6842
186	1923	6830
187	1933	6817
188	1942	6804
189	1953	6795
190	1961	6779
191	1971	6765
192	1981	6754
193	1991	6743
194	2001	6734
195	2012	6725
196	2022	6714
197	2032	6704
198	2041	6689
199	2051	6678
200	2060	6663
201	2070	6652
202	2079	6639
203	2089	6626
204	2100	6617
205	2108	6601
206	2118	6591
207	2127	6578
208	2135	6561
209	2145	6548
210	2153	6533
211	2164	6523
212	2172	6507
213	2181	6494
214	2190	6479
215	2199	6467
216	2209	6454
217	2218	6440
218	2227	6428
219	2236	6415
220	2247	6405
221	2259	6400
222	2267	6386
223	2276	6372
224	2285	6357
225	2294	6344
226	2302	6329
227	2312	6319
228	2321	6304
229	2331	6293
230	2339	6280
231	2349	6268
232	2359	6258
233	2368	6245
234	2379	6237
235	2389	6226
236	2398	6213
237	2407	6201
238	2416	6187
239	2427	6179
240	2435	6165
241	2445	6154
242	2454	6142
243	2463	6129
244	2475	6122
245	2484	6109
246	2496	6104
247	2508	6099
248	2518	6089
249	2530	6084
250	2542	6078
251	2556	6076
252	2568	6070
253	2578	6059
254	2590	6054
255	2600	6043
256	2612	6037
257	2624	6032
258	2635	6024
259	2645	6013
260	2657	6006
261	2669	6000
262	2677	5986
263	2689	5979
264	2698	5967
265	2710	5960
266	2721	5952
267	2731	5942
268	2741	5931
269	2752	5923
270	2762	5912
271	2771	5900
272	2781	5890
273	2791	5878
274	2803	5871
275	2813	5861
276	2823	5851
277	2834	5841
278	2843	5828
279	2853	5819
280	2863	5807
281	2873	5797
282	2883	5788
283	2892	5775
284	2903	5766
285	2913	5755
286	2922	5743
287	2933	5735
288	2944	5726
289	2954	5714
290	2964	5704
291	2973	5692
292	2982	5680
293	2992	5670
294	3002	5658
295	3012	5648
296	3022	5638
297	3031	5625
298	3042	5616
299	3052	5607
300	3063	5598
301	3073	5586
302	3082	5574
303	3091	5563
304	3100	5550
305	3111	5541
306	3121	5530
307	3130	5519
308	3142	5512
309	3151	5499
310	3162	5491
311	3172	5480
312	3181	5468
313	3192	5459
314	3202	5449
315	3212	5438
316	3222	5428
317	3231	5416
318	3241	5405
319	3249	5392
320	3262	5386
321	3272	5375
322	3283	5367
323	3295	5359
324	3307	5353
325	3320	5346
326	3331	5338
327	3341	5328
328	3350	5316
329	3359	5304
330	3368	5291
331	3376	5278
332	3385	5266
333	3393	5253
334	3403	5241
335	3411	5228
336	3419	5215
337	3428	5203
338	3437	5191
339	3446	5179
340	3456	5169
341	3465	5158
342	3474	5145
343	3484	5136
344	3493	5123
345	3504	5114
346	3512	5102
347	3523	5093
348	3534	5083
349	3542	5071
350	3553	5061
351	3562	5050
352	3571	5038
353	3581	5027
354	3589	5015
355	3599	5004
356	3607	4991
357	3616	4979
358	3624	4967
359	3633	4955
360	3641	4943
361	3650	4930
362	3659	4919
363	3668	4907
364	3677	4896
365	3685	4883
366	3693	4871
367	3701	4858
368	3711	4847
369	3719	4835
370	3728	4824
371	3736	4811
372	3746	4801
373	3754	4788
374	3763	4777
375	3771	4765
376	3781	4754
377	3790	4743
378	3799	4731
379	3808	4720
380	3816	4708
381	3825	4696
382	3833	4684
383	3843	4674
384	3851	4661
385	3860	4650
386	3868	4637
387	3877	4626
388	3885	4614
389	3894	4603
390	3902	4591
391	3911	4579
392	3920	4568
393	3929	4557
394	3939	4547
395	3947	4535
396	3957	4525
397	3966	4514
398	3975	4503
399	3983	4490
400	3991	4479
401	4000	4467
402	4009	4456
403	4017	4445
404	4025	4433
405	4034	4422
406	4042	4410
407	4051	4399
408	4059	4387
409	4069	4377
410	4077	4365
411	4087	4354
412	4095	4342
413	4104	4332
414	4111	4320
415	4120	4308
416	4128	4296
417	4137	4285
418	4145	4274
419	4155	4263
420	4163	4252
421	4172	4242
422	4182	4231
423	4192	4221
424	4202	4212
425	4214	4204
426	4223	4193
427	4233	4183
428	4241	4172
429	4251	4162
430	4260	4151
431	4271	4143
432	4281	4133
